Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14
0.049789913,-0.94657457,0.7562298,0.9555373,-0.7514236,-0.7639395,0.12044159,-0.48441908,0.26867896,0.6129319,-0.5165335,0.9174773,0.9593569,-0.34045014
-0.6969977,-0.45513386,-0.654802,0.9008016,0.82971287,0.4658898,-0.2433293,0.94688004,-0.9694614,0.03861904,0.9201909,0.91590136,-0.31088492,-0.91894305
0.90239865,0.8504698,0.16909242,-0.93886447,-0.96419066,-0.3354223,-0.91294295,-0.6870634,0.74624616,0.6144582,-0.6958119,-0.64246285,0.66805595,0.92224175
-0.5894394,-0.9515516,-0.18710385,0.93088615,0.7152689,-0.18639164,0.8294884,0.40587103,-0.30377454,-0.6847559,-0.29468447,0.7783074,0.19569804,-0.8891518
-0.701942,-0.14840461,0.47275183,0.3818828,0.86167306,0.2014194,0.7956633,-0.074552305,-0.0023143995,0.03459698,0.44114247,-0.033072848,-0.5335217,-0.4875744
-0.072445154,-0.37589222,-0.9293131,-0.6065326,-0.73280054,0.3787821,-0.9677969,0.66814435,-0.73742837,0.21325356,-0.059173442,0.98268497,0.32618636,-0.81799805
-0.94696325,-0.07711938,0.52166295,0.3613788,0.88679254,0.9123753,0.7852434,-0.12098669,-0.18835963,0.7878636,0.9700774,0.8563889,-0.68121696,0.06380791
-0.7584377,0.9157188,-0.00085999235,-0.88607746,0.75109255,0.93328935,-0.31489304,-0.07227395,0.11188735,0.7656109,0.9140644,0.27677104,-0.8796789,0.31055862
-0.7590591,0.29384184,0.8248851,-0.92372715,0.49763757,0.5820743,0.76986796,-0.96975553,0.9671417,0.6899934,-0.17664069,-0.13126832,-0.38189235,0.65495163
0.50601286,-0.41324025,-0.38965523,-0.5535571,-0.07875815,-0.23575921,0.62953734,-0.42812228,0.6146134,-0.8811805,-0.8539484,-0.77061903,-0.2919887,0.14533491
0.6795723,0.74783623,0.9212323,-0.3997674,-0.94184136,-0.54201967,-0.67168194,-0.86818194,0.88190913,0.9529248,-0.34134904,-0.26932457,0.92437285,0.94323355
-0.86100733,-0.93423754,-0.28766662,0.84113675,0.41995665,0.39502257,0.290004,0.3384425,-0.51907676,0.30147696,0.48375785,0.9849795,0.39794692,-0.8631254
0.95658946,-0.35219827,-0.79937804,-0.80933803,-0.96548426,-0.8599845,-0.88104504,-0.18762545,0.5472702,-0.85236293,-0.9897847,-0.48832878,0.8050839,-0.10046298
-0.9297902,-0.73361933,0.25407746,0.8648889,0.8892237,0.62015986,0.7296354,0.4198945,-0.6179121,0.5161287,0.87852335,0.9368992,-0.28078783,-0.8055888
