Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,Column42,Column43,Column44,Column45,Column46,Column47,Column48,Column49,Column50
0.0766735,0.040534236,0.040686812,0.041357365,0.041636806,0.043123562,0.043438464,0.044204097,0.044583138,0.045138825,0.04504709,0.04490945,0.0458749,0.045025,0.045178033,0.04555621,0.04632105,0.0460326,0.04578096,0.045947473,0.04618654,0.04669074,0.046899043,0.046421982,0.046974074,0.04644573,0.046816822,0.046901725,0.046864536,0.046953794,0.04704957,0.04680302,0.047386155,0.047385015,0.04728606,0.047148876,0.047217637,0.047591638,0.047552843,0.047176503,0.04746008,0.04728019,0.04773738,0.047645405,0.047369767,0.04771611,0.047342777,0.047587346,0.047977004,0.047246974
0.07666944,0.040416375,0.040588066,0.041277822,0.04149939,0.04304484,0.04330266,0.044059567,0.044304337,0.04505256,0.044965696,0.044766806,0.045737654,0.04481032,0.045042403,0.045396887,0.0461785,0.045921933,0.04557957,0.045736052,0.04592961,0.046451654,0.046621665,0.04623662,0.046789873,0.046242055,0.04660144,0.046628166,0.04665323,0.046702705,0.04679199,0.04661909,0.04708699,0.047083642,0.046988506,0.046916723,0.047010243,0.04727758,0.047283493,0.04693686,0.04714385,0.0469586,0.04753441,0.047373317,0.04713075,0.047452375,0.047045697,0.04735684,0.04766288,0.047048565
0.07664783,0.040471327,0.04066083,0.041254897,0.041422907,0.042999722,0.04323534,0.043914042,0.044045437,0.044925775,0.044811346,0.044574536,0.045561858,0.04461327,0.04475584,0.0452142,0.04596314,0.045809355,0.045347635,0.04549792,0.045746163,0.046219528,0.046413966,0.046093713,0.04656537,0.045987204,0.046399105,0.046410013,0.046408366,0.04649556,0.046537403,0.046438336,0.04683284,0.046816435,0.046771456,0.0466915,0.04678956,0.04703674,0.047076426,0.04672107,0.046896074,0.04670197,0.04730608,0.047025207,0.046920612,0.04717537,0.04679998,0.047140222,0.04737987,0.046791345
0.07658153,0.040493194,0.040663186,0.041258465,0.041413948,0.042957023,0.043100946,0.043811522,0.04394957,0.044897463,0.044755932,0.044379387,0.04545081,0.044420645,0.044602264,0.04503199,0.045826793,0.045614332,0.045228776,0.0453892,0.04555859,0.046111904,0.04626376,0.04593341,0.046394836,0.045747783,0.04625577,0.046212085,0.04631029,0.046367705,0.04633035,0.04626915,0.046683297,0.04665782,0.046602152,0.04644734,0.046606492,0.046800163,0.046887983,0.04653454,0.046712037,0.04647737,0.04714267,0.04679753,0.046727423,0.04700141,0.046636667,0.046943597,0.04712433,0.04662742
0.07655115,0.040529914,0.04059402,0.041053936,0.04118481,0.042728648,0.042873304,0.04360852,0.04369607,0.04468538,0.044484574,0.04429002,0.04535032,0.044146687,0.044349138,0.04481094,0.045683928,0.045500904,0.045021806,0.045215804,0.045447398,0.04577261,0.046152703,0.045737896,0.046158396,0.045606814,0.046063393,0.04599003,0.046053138,0.04617316,0.046124052,0.04604003,0.046455692,0.046308305,0.04631128,0.04608156,0.04633642,0.046584614,0.04671207,0.046217736,0.046445064,0.046217117,0.046858218,0.04655262,0.046499405,0.046741888,0.046465233,0.046707388,0.04685736,0.046442572
0.07655223,0.040400412,0.04046703,0.04100593,0.041101344,0.04270871,0.04280114,0.043516584,0.043514766,0.044614013,0.04437031,0.04425584,0.045207445,0.04399996,0.044259936,0.044707675,0.045629628,0.045419548,0.04494332,0.0450919,0.045388013,0.045651168,0.046027116,0.045623846,0.046107344,0.045467358,0.045968164,0.045892708,0.04590018,0.04603759,0.045954227,0.04590245,0.046272352,0.046130937,0.04619388,0.045968413,0.046223268,0.04647018,0.046637222,0.046047375,0.04634635,0.04609477,0.046628855,0.046425242,0.046360992,0.04658285,0.046327535,0.046622645,0.046709556,0.046290006
0.0764993,0.040266566,0.040333226,0.040790297,0.040986527,0.04254665,0.042517807,0.04329271,0.04327205,0.04417832,0.044086292,0.044031277,0.045005493,0.043720987,0.04403379,0.044349615,0.04536658,0.045261372,0.044737134,0.04482291,0.04513414,0.045343205,0.045745693,0.045299806,0.04585516,0.045254696,0.045678165,0.045683715,0.045702245,0.04583757,0.04569842,0.04564248,0.046052534,0.04588754,0.045965135,0.045760285,0.046018988,0.046310477,0.04636661,0.0457943,0.046061203,0.04589119,0.04632595,0.04613821,0.046134178,0.046354998,0.046173062,0.04637603,0.04636891,0.04607458
0.076491855,0.040115755,0.04013178,0.040579315,0.040800832,0.042353917,0.042280532,0.04300605,0.04319933,0.043805648,0.043913055,0.043769896,0.044715676,0.043541383,0.04385864,0.044044066,0.04512784,0.045058224,0.044531472,0.044621926,0.04494166,0.04516113,0.045523223,0.045077555,0.045631,0.04501808,0.045480836,0.045488793,0.045449227,0.045695275,0.04551676,0.04542894,0.045814484,0.045693655,0.045701593,0.045621026,0.04580115,0.046132535,0.046165895,0.04561688,0.04585446,0.045654252,0.04609986,0.045881234,0.045893148,0.04605736,0.045936864,0.0461501,0.04610071,0.045869254
0.07648844,0.040134598,0.040148683,0.04057826,0.04080817,0.042314675,0.042266317,0.04299332,0.04312444,0.04378047,0.04385075,0.043728814,0.04473964,0.043508887,0.043827057,0.04398633,0.045129202,0.04504487,0.044536296,0.044636372,0.044883285,0.04514572,0.04546992,0.0450188,0.045562018,0.044967584,0.045424417,0.045467924,0.04541375,0.04564014,0.04543645,0.045372915,0.045764856,0.04565333,0.045654006,0.04556124,0.04573624,0.04608434,0.04608845,0.045568008,0.04578083,0.045624997,0.046041984,0.045817524,0.04582209,0.046009757,0.045832995,0.046075504,0.046001997,0.045819238
0.076480046,0.04021495,0.04019467,0.040648036,0.04077634,0.042232502,0.042230982,0.042857066,0.042907543,0.043700505,0.04373602,0.043615572,0.044630695,0.043398757,0.04357635,0.043904003,0.044969257,0.04494689,0.04443281,0.044423066,0.0446511,0.04493531,0.0453488,0.04489997,0.045398775,0.044876743,0.04532809,0.045280375,0.04533519,0.04554045,0.045286972,0.045254264,0.045648843,0.045557216,0.04550838,0.04545042,0.045590896,0.045925226,0.045891467,0.045443628,0.04567271,0.045543637,0.045841936,0.045674536,0.045670312,0.04575933,0.045664195,0.04589531,0.045882896,0.045666695
