Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,Column42,Column43,Column44,Column45,Column46,Column47,Column48,Column49,Column50,Column51,Column52,Column53,Column54,Column55,Column56,Column57,Column58,Column59,Column60,Column61,Column62,Column63,Column64,Column65,Column66,Column67,Column68,Column69,Column70,Column71,Column72,Column73,Column74,Column75,Column76,Column77,Column78,Column79,Column80,Column81,Column82,Column83,Column84,Column85,Column86,Column87,Column88,Column89,Column90,Column91,Column92,Column93,Column94,Column95,Column96,Column97,Column98,Column99,Column100
1,1,5,6,1,3,1,1,36,2,1,1,39,1,24,1,1,36,2,1,2,1,1,1,1,1,1,1,1,1,33,1,2,1,1,9,2,1,36,1,1,3,1,1,1,4,2,1,3,3,1,1,7,2,1,1,1,24,1,4,29,1,1,3,1,1,1,1,1,1,14,1,38,35,1,2,1,1,1,1,1,11,1,12,1,1,1,1,2,4,2,4,1,4,9,1,1,2,1,1
3,1,52,5,3,2,2,2,21,10,23,2,5,50,41,4,16,21,1,1,1,1,1,39,24,2,2,3,1,4,11,1,12,1,1,25,1,1,39,1,1,54,1,4,2,12,5,15,4,2,9,1,36,1,1,1,1,37,1,16,41,1,3,1,1,2,3,4,1,1,6,1,13,26,4,1,1,1,1,14,30,36,20,23,8,1,1,1,4,52,1,42,4,3,25,1,1,14,2,1
1,1,32,18,1,3,1,1,30,33,25,1,31,31,14,1,1,30,2,1,2,1,1,38,7,1,1,1,1,1,17,1,13,1,1,9,2,1,28,1,1,19,1,1,1,1,30,1,3,13,27,1,28,2,1,1,1,13,1,1,13,1,1,3,1,10,1,1,1,1,1,1,10,13,1,2,1,1,1,1,37,29,21,30,1,1,1,1,2,27,2,27,1,4,9,1,1,19,1,1
1,1,53,4,15,3,1,1,36,18,14,6,39,40,12,1,3,36,2,1,2,1,1,22,5,13,1,8,1,1,13,1,7,1,1,21,2,1,36,1,1,41,1,1,1,4,16,3,3,5,17,1,15,2,1,1,1,12,1,13,17,1,1,2,1,5,2,1,1,1,23,1,6,35,1,2,1,1,1,12,5,15,3,13,13,1,1,1,2,42,2,24,7,1,21,1,1,4,7,1
1,1,32,18,1,3,1,1,30,33,25,1,31,31,14,1,7,30,2,1,2,1,1,38,7,14,1,1,1,1,17,1,13,1,1,9,2,1,10,1,1,19,1,1,1,1,30,1,3,17,15,1,28,2,1,1,1,13,1,1,11,1,1,2,1,10,1,1,1,1,35,1,10,13,1,3,1,1,1,9,37,29,21,30,7,1,1,1,2,27,2,27,1,4,9,1,1,50,1,1
2,1,4,1,10,1,3,4,2,5,6,3,17,2,33,3,26,2,2,1,2,1,1,4,2,7,4,2,1,3,1,1,1,1,1,1,2,1,1,1,1,2,1,3,3,5,1,2,1,1,2,1,1,1,1,1,1,34,1,3,1,1,4,2,1,3,2,3,1,1,7,1,30,1,3,3,1,1,1,3,4,1,5,1,2,1,1,1,3,50,2,5,3,1,1,1,1,18,3,1
1,1,38,38,1,3,1,1,10,15,22,1,41,4,1,1,6,10,2,1,2,1,1,37,1,1,1,1,1,1,42,1,19,1,1,9,2,1,15,1,1,3,1,1,1,4,2,3,3,12,5,1,7,2,1,1,1,1,1,4,13,1,1,2,1,1,2,1,1,1,9,1,18,9,1,2,1,1,1,8,13,11,1,12,23,1,1,1,2,44,2,3,1,4,9,1,1,6,1,1
1,1,19,22,1,3,1,1,26,11,32,1,15,21,30,1,6,26,2,1,2,1,1,31,1,1,1,1,1,1,26,1,5,1,1,9,2,1,15,1,1,3,1,1,1,1,2,1,3,3,1,1,7,2,1,1,1,30,1,1,13,1,1,2,1,1,2,1,1,1,1,1,14,25,1,2,1,1,1,1,21,11,1,12,1,1,1,1,2,20,2,10,1,4,9,1,1,20,1,1
2,1,16,11,4,1,3,4,8,3,7,3,7,7,8,3,2,8,2,1,2,1,1,4,2,7,4,2,1,3,5,1,1,1,1,1,2,2,1,1,1,11,1,3,3,6,1,2,1,1,4,1,1,3,1,1,1,8,1,3,1,1,4,2,1,4,2,3,1,1,3,1,4,1,3,3,1,1,1,3,2,1,2,1,7,1,1,1,3,6,3,7,3,1,1,1,1,18,3,1
6,1,24,21,5,4,6,5,11,7,17,5,11,14,15,5,23,11,1,1,1,1,1,6,21,8,5,9,1,1,23,1,11,1,1,6,1,1,43,1,1,34,1,5,5,8,10,9,3,5,3,1,16,2,1,1,1,14,1,6,33,1,5,1,1,16,1,1,1,1,18,1,50,23,5,1,1,1,1,6,32,18,16,3,10,1,1,1,1,30,2,6,5,2,6,1,1,25,4,1
