Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32
0.058547236,0.040136173,0.04023863,0.040931355,0.041047983,0.041362353,0.04240395,0.04284272,0.04276455,0.042915083,0.04367256,0.043801125,0.043478265,0.044120505,0.043368272,0.04407969,0.045133978,0.044210475,0.0444313,0.044471905,0.044975832,0.044786,0.044708483,0.04571699,0.045352414,0.044373233,0.045715977,0.045328174,0.045075584,0.0454125,0.04498568,0.045104038
0.058533996,0.040080074,0.04021835,0.040914565,0.041005366,0.041288067,0.042329293,0.042786755,0.042682555,0.04281413,0.043629084,0.043729138,0.043316368,0.043976177,0.043332655,0.043980762,0.04503214,0.044147853,0.044350643,0.044404127,0.044944633,0.044724025,0.04464038,0.04567753,0.045249306,0.044310454,0.04563357,0.045211874,0.044997066,0.045321573,0.0448896,0.045069247
0.058535665,0.039886113,0.040017042,0.040649302,0.04084415,0.041127864,0.042048268,0.042516913,0.04252207,0.042601872,0.043477718,0.043527823,0.043171044,0.043765884,0.043122068,0.043679427,0.04470482,0.043880913,0.044058733,0.044172544,0.0447199,0.044617407,0.044497292,0.0455323,0.045059398,0.044088017,0.045438673,0.045108426,0.04479544,0.04515807,0.044713248,0.04497775
0.05852638,0.039904036,0.040018223,0.040674545,0.040863767,0.041120477,0.042074423,0.042516623,0.042546026,0.04255312,0.043460563,0.043514475,0.04315935,0.043759227,0.043096486,0.043667052,0.044725187,0.043861557,0.044012114,0.04415101,0.04469611,0.04458297,0.044466507,0.04548082,0.04502728,0.04409968,0.045382608,0.045058653,0.044781055,0.04512517,0.04468501,0.044920195
0.058485486,0.039957754,0.04008526,0.040704176,0.040858608,0.041117463,0.0420829,0.04249558,0.042494714,0.04251391,0.043415587,0.043505054,0.04314403,0.04373584,0.043092865,0.043650948,0.04453571,0.04380727,0.043952193,0.044118896,0.044680733,0.04454839,0.044460364,0.045465034,0.04496695,0.044095702,0.045357667,0.045038816,0.044747476,0.04506721,0.044672713,0.04486904
0.05847599,0.03980012,0.03995042,0.040602807,0.040737458,0.041051112,0.041913904,0.042456243,0.042449076,0.042410716,0.043338414,0.04343873,0.043105654,0.04368215,0.043102644,0.043548618,0.044488605,0.043757576,0.043907903,0.044051096,0.04460043,0.044521052,0.044415504,0.04539466,0.044910513,0.044060454,0.04528346,0.044951838,0.044691514,0.04497243,0.04464847,0.044810556
0.05848389,0.039871886,0.040007584,0.040643163,0.040747378,0.041053846,0.041915886,0.042440895,0.042459477,0.042407043,0.04329262,0.043413386,0.04309968,0.043652702,0.043052368,0.043537427,0.044487905,0.04369181,0.043847267,0.044001337,0.04456749,0.04446783,0.04437111,0.045347136,0.04490996,0.044033132,0.045178834,0.04491514,0.04460778,0.044944607,0.04465071,0.044716522
0.058464948,0.03990863,0.04005913,0.04067705,0.04075232,0.04109955,0.04192386,0.042435966,0.042466145,0.042411357,0.043300476,0.043421384,0.043113727,0.04367537,0.043078527,0.043538902,0.04445361,0.04368002,0.04384616,0.044021305,0.04454685,0.044448774,0.044361394,0.045338374,0.044877995,0.04402904,0.045187477,0.044920295,0.044609684,0.044960067,0.04464751,0.04469158
0.058459856,0.039950743,0.040075094,0.04069909,0.040736414,0.041131858,0.041931853,0.042454775,0.042478893,0.04240026,0.043292485,0.043456804,0.04310744,0.04373096,0.04311217,0.04355515,0.0444725,0.04370066,0.043832224,0.04404903,0.044548716,0.044427596,0.044371583,0.045343142,0.044864576,0.04406963,0.04518935,0.044908896,0.04461834,0.044955056,0.04463659,0.04471217
0.058448292,0.04001124,0.040130224,0.04070238,0.040762033,0.041175645,0.041984502,0.042496465,0.042462032,0.042419076,0.04329636,0.043465085,0.043089524,0.04371002,0.043117523,0.043551974,0.04448853,0.04371929,0.0437922,0.04405343,0.04452375,0.044408336,0.0443389,0.04532383,0.044851415,0.04407841,0.04515631,0.044855777,0.044574328,0.04494686,0.04460414,0.04469588
0.05845086,0.04006844,0.04016009,0.040734813,0.040790014,0.041197572,0.04193472,0.04245873,0.042426027,0.042404838,0.043137737,0.043416873,0.0430827,0.04365443,0.043067195,0.043514702,0.04441785,0.04367372,0.043766696,0.044039376,0.044457823,0.044383023,0.04431767,0.045313448,0.04480841,0.04403103,0.04510493,0.044811014,0.044431485,0.044814892,0.044545986,0.04454503
0.058442157,0.040090192,0.04020876,0.040692,0.040800992,0.04116418,0.041934837,0.04236454,0.042376176,0.042355303,0.043136768,0.043302465,0.04286496,0.043597605,0.043042816,0.043495603,0.044368286,0.043644585,0.04372665,0.043975785,0.0444079,0.04433872,0.04427784,0.04525244,0.04475548,0.044034053,0.045041326,0.044755615,0.04441304,0.04478775,0.044521768,0.04450963
0.058442004,0.03996677,0.040134363,0.040636618,0.04071561,0.041139927,0.041916844,0.04236827,0.04234491,0.04230636,0.043076318,0.04325913,0.042866424,0.04357842,0.043012463,0.043467235,0.04435389,0.04361846,0.043691423,0.043932676,0.044362072,0.044303887,0.044261724,0.045226775,0.044724233,0.04399173,0.045012288,0.044727,0.044385593,0.044750355,0.04450594,0.044495016
0.05843534,0.039920162,0.04015781,0.040576562,0.040696286,0.041043833,0.041847415,0.04222359,0.04223286,0.042192694,0.042868026,0.043035574,0.042629994,0.043306623,0.042899434,0.04335262,0.044224508,0.04351973,0.0436293,0.043814898,0.04421638,0.04414366,0.043999076,0.045078933,0.044533867,0.043838818,0.044872284,0.044479653,0.044269517,0.044600412,0.044332083,0.04432036
